PDB01 SV       44 24.1323 103 40.5832 -13012
PDB02 SV       44 23.9848 103 41.7713 -12305
PDB03 SV       44 23.8381 103 42.9455 -11605
PDB04 SV       44 23.6895 103 44.1270 -10903
PDB05 SV       44 23.5398 103 45.3157 -10200
PDB06 SV       44 23.3915 103 46.4913  -9506
PDB07 SV       44 23.2430 103 47.6672  -8813
PDB08 SV       44 23.0917 103 48.8568  -8113
PDB09 SV       44 22.9400 103 50.0395  -7418
PDB10 SV       44 22.7869 103 51.2294  -6721
PDB11 SV       44 22.6341 103 52.4132  -6031
PDB12 SV       44 22.4808 103 53.5983  -5345
OT01  SV       44 15.8897 103 45.3954 -22905
OT02  SV       44 16.8212 103 45.4034 -22675
OT03  SV       44 17.7523 103 45.4044 -22439
OT04  SV       44 18.6831 103 45.3977 -22199
OT05  SV       44 19.6135 103 45.3837 -21955
OT06  SV       44 20.5435 103 45.3632 -21706
OT07  SV       44 21.4787 103 45.3367 -21453
OT08  SV       44 22.4135 103 45.3047 -21198
OT09  SV       44 23.3480 103 45.2676 -20941
OT10  SV       44 24.2822 103 45.2257 -20681
OT11  SV       44 25.2161 103 45.1798 -20418
OT12  SV       44 26.1444 103 45.1316 -20155
PDT1  SV       44 24.1171 103 55.9205 -22138
PDB3  SV       44 22.3587 103 54.5391  -4804
PDB4  SV       44 23.9392 103 42.1378 -12086
PDB6  SV       44 25.4606 103 29.7611 -19596
PSB7  SV       44 15.7307 103 55.3749  -8780
PSB9  SV       44 18.2593 103 33.6499 -21533
PST10 SV       44 17.9102 103 54.2685 -23796
PST12 SV       44 18.7511 103 35.5567 -25427
OB13  SV       44 26.0126 103 46.2744      0
OB15  SV       44  7.9738 103 45.1633 -17640
OT16  SV       44 27.2807 103 45.0704 -19831
OT18  SV       44  9.3568 103 45.1914 -24394
